level_index,level,framework,theoretical_effective_mean,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,success_rate_mean,success_rate_ci_lower,success_rate_ci_upper
0,low,DBL,0.16666666666666666,0.052354563302487216,0.05223891623770323,0.0524702103672712,0.0502,0.04845825983837929,0.05194174016162071
0,low,DMM,0.16666666666666666,0.045549572207257166,0.04543923733797415,0.045659907076540183,0.0502,0.04845825983837929,0.05194174016162071
0,low,ISF,0.16666666666666666,0.0572210875429321,0.057115602911499516,0.05732657217436468,0.0502,0.04845825983837929,0.05194174016162071
1,low_moderate,DBL,0.3333333333333333,0.11202279228058415,0.11123001737124696,0.11281556718992133,0.10528000000000001,0.1027345141469967,0.10782548585300332
1,low_moderate,DMM,0.3333333333333333,0.09785527204104388,0.09705277624187886,0.09865776784020891,0.10528000000000001,0.1027345141469967,0.10782548585300332
1,low_moderate,ISF,0.3333333333333333,0.12016095364153423,0.11944154753560904,0.12088035974745942,0.10528000000000001,0.1027345141469967,0.10782548585300332
2,neutral,DBL,0.5,0.2635386092827535,0.26029501445785236,0.2667822041076547,0.23781333333333338,0.23308946978342,0.24253719688324676
2,neutral,DMM,0.5,0.2457325182690109,0.24224847866808755,0.24921655786993427,0.23781333333333338,0.23308946978342,0.24253719688324676
2,neutral,ISF,0.5,0.2678135846730385,0.26471586257382596,0.27091130677225106,0.23781333333333338,0.23308946978342,0.24253719688324676
3,high_moderate,DBL,0.6666666666666666,0.5386253764549793,0.5355261188384552,0.5417246340715034,0.50408,0.4987936487670321,0.5093663512329678
3,high_moderate,DMM,0.6666666666666666,0.5267297067719248,0.5234120565229472,0.5300473570209023,0.50408,0.4987936487670321,0.5093663512329678
3,high_moderate,ISF,0.6666666666666666,0.5354913313671861,0.5324648181434732,0.5385178445908989,0.50408,0.4987936487670321,0.5093663512329678
4,high,DBL,0.8333333333333334,0.8305135310272661,0.8286140726588145,0.8324129893957177,0.81968,0.8148208456091368,0.8245391543908631
4,high,DMM,0.8333333333333334,0.825870826202353,0.823859841385568,0.8278818110191379,0.81968,0.8148208456091368,0.8245391543908631
4,high,ISF,0.8333333333333334,0.8227717522287712,0.8209444628446079,0.8245990416129345,0.81968,0.8148208456091368,0.8245391543908631
